id,org,name,url,kind,status,file,message
1,數位發展部,人工智慧基本法,https://moda.gov.tw/major-policies/ai/governance/19248.html,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\01_數位發展部_人工智慧基本法.pdf,
2,國科會,行政院及所屬機關構使用生成式AI參考指引,https://www.nstc.gov.tw/folksonomy/list/c79bf57b-dc94-4aff-8d14-3262b5559cfc?l=ch,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\02_國科會_行政院及所屬機關構使用生成式AI參考指引.pdf,
3,國科會,生成式AI指引FAQ,https://www.nstc.gov.tw/folksonomy/detail/d21566a0-3465-4b63-84b7-5d7cb2e1e5ff?l=ch,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\03_國科會_生成式AI指引FAQ.pdf,
4,教育部,中小學數位教學指引3.0,https://pads.moe.edu.tw,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\04_教育部_中小學數位教學指引3.0.pdf,
5,教育部,中小學使用生成式人工智慧注意事項,https://pads.moe.edu.tw/download.php,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\05_教育部_中小學使用生成式人工智慧注意事項.pdf,
6,臺灣學術倫理教育學會,人工智慧技術對學術倫理的影響及因應建議,https://www.taaee.org.tw/docs/20230223_conclusion_final.pdf,pdf,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\06_臺灣學術倫理教育學會_人工智慧技術對學術倫理的影響及因應建議.pdf,
7,臺師大,生成式AI之學習應用及參考指引,https://ctld.ntnu.edu.tw/generative_ai,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\07_臺師大_生成式AI之學習應用及參考指引.pdf,
8,政大,生成式人工智慧運用簡要原則,https://sites.google.com/g.nccu.edu.tw/nccubasicprincipleforai,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\08_政大_生成式人工智慧運用簡要原則.pdf,
9,臺大,針對生成式AI工具之教學因應措施,https://www.dlc.ntu.edu.tw/ai-tools/,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\09_臺大_針對生成式AI工具之教學因應措施.pdf,
10,亞洲大學,針對生成式AI工具之教學因應措施,https://ac.asia.edu.tw/xhr/announcements/file/664ac4588199fb6b7a9ceac3/%E4%BA%9E%E5%A4%A7%E9%87%9D%E5%B0%8D%E7%94%9F%E6%88%90%E5%BC%8FAI%E5%B7%A5%E5%85%B7%E4%B9%8B%E6%95%99%E5%AD%B8%E5%9B%A0%E6%87%89%E6%8E%AA%E6%96%BD_2024%E7%89%88.pdf,pdf,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\10_亞洲大學_針對生成式AI工具之教學因應措施.pdf,
11,清華大學,大學教育場域AI協作共學與素養培養指引,https://ctld.site.nthu.edu.tw/p/450-1217-253458%2Cc0.php?Lang=zh-tw,pdf,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\11_清華大學_大學教育場域AI協作共學與素養培養指引.pdf,
12,成功大學,AI及相關學習工具參考指南,https://sites.google.com/gs.ncku.edu.tw/nckuaiguidance/%E9%A6%96%E9%A0%81,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\12_成功大學_AI及相關學習工具參考指南.pdf,
13,中山大學,生成式AI工具使用參照指引,"https://oaa.nsysu.edu.tw/p/406-1003-313202,r1365.php?Lang=zh-tw",html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\13_中山大學_生成式AI工具使用參照指引.pdf,
14,高雄大學,AI生成工具使用指引,https://tech2021.mystrikingly.com/aitools?utm_source=email_deliver&utm_medium=email&utm_campaign=aitools,html,FAILED,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\14_高雄大學_AI生成工具使用指引.pdf,PDF appears to be an error page: 403 ERROR
15,高雄科大,針對生成式AI工具之教學因應措施,https://acad.nkust.edu.tw/p/412-1004-9405.php?Lang=zh-tw,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\15_高雄科大_針對生成式AI工具之教學因應措施.pdf,
16,臺科大,生成式AI簡介與教學策略調整建議方針,"https://ctld.ntust.edu.tw/p/406-1051-111193,r1430.php?Lang=zh-tw",html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\16_臺科大_生成式AI簡介與教學策略調整建議方針.pdf,
17,雲科大,生成式AI工具教學須知,https://aax.yuntech.edu.tw/images/content/%E6%95%99%E5%8B%99%E7%AB%A0%E5%89%87/%E5%85%B6%E4%BB%96%E9%A1%9E/T13%E7%94%9F%E6%88%90%E5%BC%8FAI%E5%B7%A5%E5%85%B7%E6%95%99%E5%AD%B8%E9%A0%88%E7%9F%A5(112.9.12).pdf,pdf,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\17_雲科大_生成式AI工具教學須知.pdf,
18,中國醫藥大學,針對生成式AI工具之教學指引,https://academic.cmu.edu.tw/?q=zh-hant/node/69,html,OK,D:\Users\ASUS\Desktop\AI助教\AI教學指引彙整\台灣各大學AI教學指引\18_中國醫藥大學_針對生成式AI工具之教學指引.pdf,
